country,price,province,variety,winery
France,225.0,Burgundy,Pinot Noir,Château de la Tour
France,15.0,Bordeaux,Bordeaux-style Red Blend,Château de Goëlane
Argentina,10.0,Mendoza Province,Malbec,Valentin Bianchi
US,80.0,California,Cabernet Sauvignon,Lobo
US,25.0,California,Pinot Noir,Sextant
US,15.0,California,Chardonnay,Toad Hollow
US,22.0,California,Chardonnay,Joseph Carr
France,53.0,Alsace,Riesling,Domaine Schoffit
Italy,25.0,Tuscany,Sangiovese,Eredi Enzo Raspi
Austria,20.0,Burgenland,Blaufränkisch,Judith Beck
France,124.0,Champagne,Chardonnay,Jean Milan
Australia,40.0,South Australia,G-S-M,John Duval Wines
US,55.0,Oregon,Pinot Noir,Torii Mor
US,36.0,California,Zinfandel,Sbragia
US,23.0,California,Chardonnay,Cru
Germany,175.0,Mosel,Riesling,S.A. Prüm
US,58.0,California,Chardonnay,Ch.igai Takaha
France,15.0,Rhône Valley,Rhône-style Red Blend,Bieler Père et Fils
Italy,44.0,Lombardy,Sparkling Blend,Bellavista
France,304.0,Burgundy,Pinot Noir,Domaine Dujac
Argentina,9.0,Mendoza Province,Malbec,Filus
France,16.0,France Other,Cabernet Sauvignon,Florent Descombe
France,19.0,Bordeaux,Bordeaux-style Red Blend,Barton & Guestier
France,28.0,Loire Valley,Pinot Noir,Vignobles Berthier
US,12.0,California,Chenin Blanc,Dry Creek Vineyard
Italy,30.0,Tuscany,Syrah,Stefania Mezzetti
US,19.0,California,Cabernet Sauvignon,Casto Oaks
Bulgaria,23.0,Danube River Plains,Chardonnay,Chateau Burgozone
US,60.0,Oregon,Pinot Noir,Bryn Mawr Vineyards
Chile,14.0,Maule Valley,Carmenère,Leyendas de Familia
Italy,96.0,Tuscany,Sangiovese,Il Marroneto
France,80.0,Bordeaux,Merlot,Château Barde Haut
Greece,17.0,Nemea,Agiorgitiko,Greek Wine Cellars
US,26.0,Washington,Bordeaux-style Red Blend,Drink Washington State
France,40.0,Bordeaux,Bordeaux-style Red Blend,Château Montrose
France,26.0,Southwest France,Red Blend,Château Bouissel
France,50.0,Burgundy,Pinot Noir,Manuel Olivier
Portugal,18.0,Tejo,Touriga Nacional,Quinta da Lapa
France,27.0,Alsace,Pinot Gris,Jean-Baptiste Adam
Italy,65.0,Piedmont,Nebbiolo,Sordo
France,16.0,Languedoc-Roussillon,Rosé,Vignobles Jeanjean
France,25.0,Loire Valley,Sauvignon Blanc,Jean-Michel Sorbe
Spain,16.0,Galicia,Mencía,Regina Viarum
France,30.0,Burgundy,Chardonnay,Jacques Charlet
France,25.0,Southwest France,Malbec,Château Saint-Didier-Parnac
France,45.0,Alsace,Riesling,Domaine Weinbach
France,20.0,Bordeaux,Rosé,Château Côte Montpezat
France,15.0,Southwest France,Sauvignon Blanc,Domaine de l'Herré
Spain,100.0,Northern Spain,Tempranillo,Abadia Retuerta
US,45.0,California,Chardonnay,Acacia
Italy,115.0,Veneto,Red Blend,Cesari
France,30.0,Bordeaux,Bordeaux-style Red Blend,Château de Lagarde
Chile,95.0,Aconcagua Valley,Red Blend,Errazuriz
Chile,22.0,Leyda Valley,Sauvignon Blanc,O. Fournier
Italy,19.0,Sicily & Sardinia,Grillo,Tonnino
US,45.0,Oregon,Pinot Noir,Carabella
US,72.0,California,Chardonnay,Testarossa
Spain,40.0,Catalonia,Red Blend,Mas d'en Gil
Italy,12.0,Tuscany,Red Blend,Vignemastre
Germany,24.0,Franken,Silvaner,Castell
Spain,18.0,Levante,Red Blend,Hacienda del Carche
Chile,22.0,San Antonio,Sauvignon Blanc,Undurraga
Argentina,8.0,Mendoza Province,Malbec,Pampa
France,375.0,Bordeaux,Bordeaux-style Red Blend,Château Bélair-Monange
South Africa,25.0,Stellenbosch,Chardonnay,Thelema
Argentina,9.0,Mendoza Province,Malbec,Bodega Privada
Austria,21.0,Weinviertel,Grüner Veltliner,R&A; Pfaffl
Italy,30.0,Northeastern Italy,Sauvignon,Alois Lageder
Argentina,17.0,Other,Pinot Noir,Denario
Portugal,40.0,Douro,Portuguese Red,Bernard Magrez
US,24.0,California,Sauvignon Blanc,Byington
France,20.0,Bordeaux,Bordeaux-style Red Blend,Château Hourtin-Ducasse
US,48.0,Washington,Bordeaux-style Red Blend,Sparkman
Italy,15.0,Piedmont,Dolcetto,Collina San Ponzio
Italy,15.0,Tuscany,Vernaccia,Tenuta La Vigna
US,12.0,New York,Rosé,Sheldrake Point
US,13.0,California,Sauvignon Blanc,Scratchpad
US,36.0,California,Cabernet Sauvignon,Beringer
Italy,35.0,Piedmont,Barbera,Vite Colte
Israel,17.0,Galilee,Shiraz,Or Haganuz
Italy,14.0,Northeastern Italy,White Blend,Tenuta di Angoris
Italy,47.0,Lombardy,Sparkling Blend,Ricci Curbastro
US,58.0,Washington,Cabernet Sauvignon,Mark Ryan
France,28.0,Burgundy,Chardonnay,Domaine Feuillat-Juillot
US,38.0,Washington,Carmenère,Martinez & Martinez
Argentina,65.0,Mendoza Province,Red Blend,Lagarde
Spain,9.0,Levante,Monastrell,Wrongo Dongo
Portugal,28.0,Tejo,Gewürztraminer-Riesling,Quinta da Lagoalva de Cima
US,16.0,California,Red Blend,Michael David
France,60.0,Burgundy,Chardonnay,Domaine de Bellene
Argentina,16.0,Mendoza Province,Malbec,Domaine Bousquet
South Africa,17.0,Western Cape,Sauvignon Blanc,Tokara
US,45.0,Washington,Cabernet Sauvignon,Auclair
US,28.0,California,Rhône-style Red Blend,Ventana
Italy,50.0,Tuscany,Sangiovese,Renieri
France,18.0,Provence,Provence white blend,Château d'Ollières
US,85.0,California,Syrah-Cabernet Sauvignon,Daou
France,20.0,France Other,Vermentino,Union de Vignerons de l'Île de Beauté
US,42.0,California,Syrah,Baker Lane
US,14.0,Oregon,Chardonnay,Wine by Joe
Portugal,14.0,Bucelas,Arinto,Quinta da Romeira
US,16.0,Washington,Chardonnay,Hogue
Spain,11.0,Central Spain,White Blend,Paso a Paso
US,28.0,Oregon,Chardonnay,Argyle
US,65.0,Washington,Bordeaux-style Red Blend,Pepper Bridge
France,38.0,Burgundy,Chardonnay,Georges Duboeuf
Portugal,13.0,Vinho Verde,Portuguese White,Quintas de Melgaço
Chile,30.0,San Antonio,Syrah,Lapostolle
France,17.0,Bordeaux,Bordeaux-style Red Blend,Château des Demoiselles
Chile,26.0,Limarí Valley,Pinot Noir,Concha y Toro
US,25.0,California,Sparkling Blend,Laetitia
Argentina,19.0,Mendoza Province,Malbec,Altocedro
Chile,13.0,Limarí Valley,Muscat,Los Molles
France,41.0,Beaujolais,Gamay,Domaine de Colonat
Argentina,15.0,Other,Pinot Noir,Manos Negras
US,60.0,California,Bordeaux-style Red Blend,Charles Krug
France,30.0,Bordeaux,Bordeaux-style Red Blend,Chateau La Tour Carnet
Spain,45.0,Northern Spain,Tinta de Toro,Vatan
US,30.0,California,Cabernet Franc,Ferriere Vineyards
US,25.0,Oregon,Pinot Noir,Chehalem
Italy,25.0,Central Italy,Red Blend,Perticaia
Portugal,25.0,Douro,Portuguese Red,Calheiros Cruz
France,20.0,Bordeaux,Bordeaux-style Red Blend,Château Langlet
US,41.0,Washington,Bordeaux-style Red Blend,Baer
US,32.0,California,Sauvignon Blanc,Matanzas Creek
Austria,29.0,Burgenland,Red Blend,Hillinger
Italy,25.0,Central Italy,White Blend,Palazzone
US,27.0,Washington,Tempranillo,Castillo De Feliciana
US,26.0,California,Zinfandel,Earthquake
Austria,22.0,Südsteiermark,Pinot Gris,Wohlmuth
France,18.0,Southwest France,Gros Manseng,Lapeyre
Spain,90.0,Central Spain,Cabernet Blend,Marques de Griñon
France,100.0,Champagne,Chardonnay,Mailly Grand Cru
Spain,29.0,Northern Spain,Cabernet Sauvignon,Asensio
US,13.0,Oregon,Pinot Gris,Illahe
Portugal,13.0,Tejo,Fernão Pires,Quinta do Casal Branco
US,15.0,Washington,Riesling,Scarborough
Spain,20.0,Central Spain,Red Blend,Marques de Griñon
US,8.0,Washington,Riesling,Pine & Post
US,54.0,Washington,Cabernet Sauvignon,Adams Bench
US,80.0,Washington,Syrah,Charles Smith
Portugal,13.0,Douro,Portuguese Red,Vinihold
France,75.0,Champagne,Champagne Blend,Jeaunaux-Robin
Australia,25.0,South Australia,Shiraz,Sieber Rd
Chile,11.0,Maule Valley,Chardonnay,Grÿphus
Austria,19.0,Wachau,Rosé,Jäger
Spain,10.0,Levante,Monastrell,Finca Hispana
Spain,95.0,Catalonia,White Blend,Marco Abella
US,58.0,California,Chardonnay,Chateau Montelena
US,180.0,California,Cabernet Sauvignon,Far Niente
Brazil,23.0,Brazil,Champagne Blend,Casa Valduga
Australia,16.0,Victoria,Shiraz,Mount Langi Ghiran
US,35.0,Washington,Mourvèdre,Ardor
US,42.0,California,Syrah,Donkey & Goat
US,10.0,Washington,Sauvignon Blanc,Arbor Crest
US,65.0,Washington,Tempranillo-Cabernet Sauvignon,K Vintners
Greece,15.0,Mantinia,Moschofilero,Nasiakos
Portugal,30.0,Lisboa,Portuguese Red,Companhia das Quintas
France,18.0,Bordeaux,Bordeaux-style Red Blend,Château Bourdieu
US,32.0,Washington,Cabernet Franc,Dumas Station
US,30.0,California,Cabernet Sauvignon,Yardstick
France,24.0,Bordeaux,Bordeaux-style Red Blend,Château Castera
US,13.0,California,Chardonnay,Vinum
Germany,20.0,Pfalz,Riesling,A. Christmann
Austria,24.0,Niederösterreich,Grüner Veltliner,Pratsch
US,27.0,California,Red Blend,Naggiar
US,23.0,California,Pinot Noir,Chesebro
Italy,40.0,Southern Italy,Primitivo,Jorche
Turkey,34.0,Aegean,Bordeaux-style Red Blend,Urla
US,11.0,Washington,Riesling,Pacific Rim
US,19.0,California,Gewürztraminer,Borra
France,13.0,France Other,Sparkling Blend,Bouvet-Ladubay
Italy,18.0,Central Italy,Red Blend,Decugnano dei Barbi
US,30.0,Oregon,Pinot Noir,Amalie Robert
Chile,50.0,Maipo Valley,Red Blend,TerraMater
US,42.0,California,Grenache,Crux
US,30.0,California,Chardonnay,Truchard
Greece,22.0,Cephalonia,Robola,Gentilini
US,35.0,California,Zinfandel,Rosenblum
France,16.0,Burgundy,Chardonnay,Simonnet-Febvre
US,28.0,Washington,Chardonnay,Sleight of Hand
US,20.0,Washington,Merlot,Cascade Ridge
France,15.0,Languedoc-Roussillon,Chardonnay,Calmel & Joseph
US,19.0,California,Chardonnay,Alma Rosa
France,28.0,Beaujolais,Gamay,Richard Rottiers
US,32.0,California,Viognier,Alysian
