,description,points,taster_twitter_handle,title,variety,winery
32170,"Briny, leathery, horsey berry aromas are alarming at first but settle in due time. A chunky mouthfeel struggles before finding its timing, while oaky flavors of hickory, bitter char and black fruits finish baked and herbal. This is good but raw, raspy and green.",86,@wineschach,El Molet 2013 Red (Jumilla),Red Blend,El Molet
56472,"This 100% Cabernet Sauvignon sees 20 months in 100% French oak, half of it new. This wine has lovely cassis and red cranberry notes at its core, while accents of earth, leather, oak and cedar give it a classic feel. Sizable, dry tannins should integrate with the bright fruit and minerality over time, through 2020.",93,@vboone,Stags' Leap Winery 2012 The Leap Estate Grown Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Stags' Leap Winery
22656,"This dessert wine opens with earthy aromas of underbrush and tobacco, with whiffs of chocolate and oak. The palate offers up dense black cherry, blueberry and licorice, along with smooth tannins.",88,@kerinokeefe,Scacciadiavoli 2006 Passito  (Sagrantino di Montefalco),Sagrantino,Scacciadiavoli
69010,"This wine pushes the envelope on concentration and ripeness. It's full of prune, raisin and licorice on the nose, but also a lot of weight. It's quite jammy and soft by Priorat standards, as intense blackberry and molten fudge flavors take over. Chewy, warm and ready to drink.",91,@wineschach,Vall Llach 2007 Red (Priorat),Red Blend,Vall Llach
112009,"A firmly tannic wine, leading from red plums to juicy, bitter cherry flavors. It is structured while also generous and ripe. There is an edge of wood that emphasizes the dry core.",88,@vossroger,Robert et Bernard Plageoles 2008 Le Duras Duras (Gaillac),Duras,Robert et Bernard Plageoles
116890,"Vintage after vintage, this wine impresses for its complexity and balance, and the 2009 won't disappoint on those counts. It may not be the biggest, baddest Dry Red No. 2, but it features blueberry fruit and espresso and black olive shadings, a lovely supple texture and a softly lingering finish. Drink it over the next few years.",91,@JoeCz,Yarra Yering 2009 Dry Red Wine No. 2 Shiraz-Viognier (Yarra Valley),Shiraz-Viognier,Yarra Yering
9572,"Scratchy, horsey berry aromas set up a fresh, regular palate. Plum, berry and peppery flavors are basic, while the finish dries out fast while showing a wood character along with juicy acidity.",86,@wineschach,Pagos del Rey 2012 Castillo de Albai  (Rioja),Tempranillo,Pagos del Rey
47671,"Zinfandel from old vines is rarely this light and refreshing, yet still exuberant in fruit. A mix of tart cherry and just-ripe blackberry comes with a lingering edge of citrus around the cinnamon and black pepper spice. Funky earth ripples through the middle, before a subtle take on leather finishes things out.",91,@vboone,Joseph Swan Vineyards 2011 Mancini Ranch Zinfandel (Russian River Valley),Zinfandel,Joseph Swan Vineyards
15212,"One of the iconic wines of Portugal, the brand dates back to the 15th century and the Portuguese discovery of Brazil. In its latest incarnation, it is hugely dense and concentrated. It could be that it is too much, with dark extracts, yet somehow the super-ripe plum and berry flavors are given enough freshness. The structure is all there in what is still a young wine. With power and a dense texture, the wine needs to age further. Drink from 2020.",94,@vossroger,Cartuxa 2011 Pêra-Manca Red (Alentejo),Portuguese Red,Cartuxa
121650,"This simple, fruity Chardonnay delivers ample pear, melon and peach notes. It's plump, medium bodied and finishes pleasantly crisp and clean. Drink it over the next couple of years.",87,@JoeCz,Robert Oatley 2012 Chardonnay (Margaret River),Chardonnay,Robert Oatley
92501,"Dark and dense in the glass, this blend of 65% Syrah, 25% Grenache and 10% Mourvèdre by winemaker Steve Martell shows deep but fresh blueberry fruit with an herbal edge of oregano and marjoram, plus touches of crushed asphalt, milk chocolate and smoke. Thyme and fennel fronds show on the dry and structure sip, with blackcurrant, tobacco, elderberry and leather flavors as well.",93,@mattkettmann,Kaleidos 2013 Morpheus Red (Paso Robles),Rhône-style Red Blend,Kaleidos
117335,"In keeping with the winery's commitment to exploring some less-traveled wine roads, this is a coferment of 75% Pinot Noir and 25% Chardonnay. Soft, delicate and aromatic, with a pale rose color, it is definitely not in the mainstream of Oregon Pinots. Nonetheless, it's very well crafted, aromatic and delivers plenty of flavor and depth.",89,@paulgwine ,ENSO 2011 Bieze Vineyard The Prince Pinot-Chardonnay (Eola-Amity Hills),Pinot-Chardonnay,ENSO
12728,"Winemaker Francisco Olazabal, from Quinta do Vale Meão, produces this ripe, smoky wine from vineyards above the Douro River. Lab (as in Labrador) is fruity, with a cool element that brings in tannins as well as immediately attractive red fruits. Drink now.",88,@vossroger,Quinta de Porrais 2012 Lab Premium Red (Douro),Portuguese Red,Quinta de Porrais
51884,"The last Altos that was this good came in 2004; this vintage is on a par with that superb wine courtesy of deep plum, mocha and marzipan aromas. This is a modern Rioja with impeccable balance despite being huge and tannic. Flavors of cassis, black cherry and dark plum operate off a mocha base, while the finish is toasty and chocolaty, with a note of black coffee. Best from 2015–2024.",94,@wineschach,Telmo Rodríguez 2009 Altos Lanzaga  (Rioja),Tempranillo,Telmo Rodríguez
125869,"Norm Yost presents luscious and broad aromas of black currant candies, black slate and well-integrated clove and allspice aromas on this wine from an extreme coastal slice of the Central Coast. It's quite boisterous for the restrained vintage, with blood, iodine, black cherry juice and black pepper flavors.",93,@mattkettmann,Flying Goat Cellars 2011 Salisbury Vineyards Pinot Noir (San Luis Obispo County),Pinot Noir,Flying Goat Cellars
13338,"Balanced, with a lovely floral bouquet, this offers a richness of tropical fruit on the front palate, founded upon soft and subtle vanilla, tropical mango and oak. The medium-bodied style of the wine remains in check with cooler-climate aspects of wet stone and classic minerality, finishing crisp and lingering in ginger snap.",90,@vboone,ZD 2013 Chardonnay (California),Chardonnay,ZD
12664,"Muted aromas slowly unfold in this full-bodied, ripe white blended with 17% Sauvignon Blanc. A gravelly texture and mineral undertone curb its peach and fig flavors, which take time to open in the glass.",90,@vboone,Frostwatch 2015 Semillon (Bennett Valley),Sémillon,Frostwatch
35718,"Billowy, expansive tannins remain round and approachable on the palate of this generously ripe wine, juicy in black cherry and plum. The robust fruit is complemented by savory tinges of cedar and leather.",90,@vboone,Louis M. Martini 2013 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Louis M. Martini
75450,"Estate-grown, barrel-fermented, and richly extracted, this young Viognier has not yet shed its sharp edges. The fruit is generous and compact, a mix of peach, apricot and pineapple, with liquorous barrel flavors dominating.",88,@paulgwine ,Abeja 2010 Viognier (Walla Walla Valley (WA)),Viognier,Abeja
106284,"The wine is structured with concentrated tannins and dense fruit. It has spice, wood-aging flavors and a firm aftertaste. That means the wine needs time, so wait until 2019.",86,@vossroger,Château Haut Peyrefaure 2014  Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château Haut Peyrefaure
53951,"Produced from Michel and Isabelle Dietrich's oldest vines on the plateau above the Cadillac fortress, the wine is rich. There's plenty of black-currant fruit and acidity to balance while still showing its wood aging. The wines are vegan (no animal products in production). Drink this wine from 2018.",90,@vossroger,Chateau Haut Rian 2014 Cuvée Prestige  (Côtes de Bordeaux),Bordeaux-style Red Blend,Chateau Haut Rian
126884,"Thick and concentrated aromas feature barrel-driven toast, lemon peel and savory berry. It's rather flat, sweet and jammy in the mouth, with buttery berry fruit and then a sugary candy flavor. Very sweet and soft on the finish; needs more edge, spine, acidity and clarity to rank higher.",87,@wineschach,Luca 2009 Malbec (Uco Valley),Malbec,Luca
65628,"An ethereal Pinot from high atop Mendocino Ridge, sourced from just one block of the Signal Ridge Vineyard, this wine is a gorgeous glass of strawberry and cherry compote, with a pungency of pomegranate. Soft, well-integrated and zinging with acidity, this unfined and unfiltered Pinot is well worth seeking out.",93,@vboone,Bravium 2011 Signal Ridge Vineyard Dragonfly Block Pinot Noir (Mendocino Ridge),Pinot Noir,Bravium
83552,"Made in a relatively restrained style, this is a dark, juicy and smoky wine from Dry Creek and Alexander Valley area vineyard sites. Lengthy and smooth, it takes a decidedly medium-bodied route, with traces of leather pouch on the nose and a soft layering of milk chocolate on the finish.",90,@vboone,Decoy 2013 Zinfandel (Sonoma County),Zinfandel,Decoy
108508,"Assertive and spicy, this interesting bottling, from Amity vineyard estate grapes, shows that even at just 13% alcohol Oregon Pinot can cut it. Made in a distinctive style that is clearly neither California nor Burgundy, this herbal, intense, wine puts the focus on the aromas, a beguiling mix of pine and herb. But the fruit is there right behind, tart and sassy, with cola and root beer notes sliding into a well-modulated but tannic finish.",88,@paulgwine ,Coelho 2005 Paciência Pinot Noir (Oregon),Pinot Noir,Coelho
108859,"This blend of Zinfandel, Syrah and Sangiovese shows dense, dark notes of chocolate, boysenberry, leather, lavender and a sprig of mint on the nose. The tannins are chalky in texture, with a balance of blueberries and menthol tones.",87,@mattkettmann,Mesa Del Sol 2011 Prima Rosso Red (Arroyo Seco),Red Blend,Mesa Del Sol
59416,"The wines from this remote ranch off of Jalama Road combine mossy forest-floor touches with dark hearty aromas, in this case showing pine, rust, juniper, thyme and purple fruit on the nose. The texture is grippy, and there is cranberry fruit in the background, but the palate's attention turns mostly to eucalyptus, dark spice and even tobacco toward the finish.",93,@mattkettmann,JCR 2014 Estate Pinot Noir (Santa Barbara County),Pinot Noir,JCR
97782,"Pressed yellow flower, ripe stone fruit, pear and Mediterranean herb aromas come together in the glass. The juicy palate boasts yellow peach, mature apple and honey accented with a spicy note of white pepper.",88,@kerinokeefe,Guicciardini Strozzi 2011 Riserva  (Vernaccia di San Gimignano),Vernaccia,Guicciardini Strozzi
55416,"A clean and bright wine with focused acidity, this is a mouthful of lemon and lime flavors, with a hint of peach. With a handful of Chardonnay and Muscat in the mix, this is a great party or midweek white, but it's also fit for any special occasion.",87,@vboone,The White Knight 2011 Viognier (Clarksburg),Viognier,The White Knight
124077,"Rich, rooty berry, cola, coffee and toasty black-fruit aromas get this Malbec blend off to a nice start. Flush and fruity on the palate, this offers black cherry, cassis, toast, black pepper and herbal flavors. A forward, hard-driving finish is lightly medicinal in flavor. Drink through 2022.",92,@wineschach,Domaine Bousquet 2012 Ameri Red (Tupungato),Red Blend,Domaine Bousquet
23632,"Assorted blue fruit, coffee, green tea and barrel-spice aromas lead to full-bodied fruit flavors that carry a touch of warmth.",89,@wawinereport,Burnt Bridge 2013 Coyote Canyon Vineyard Syrah (Horse Heaven Hills),Syrah,Burnt Bridge
121275,"High toned cranberry and red cherry aromas mix with hot chili peppers on the nose. High acidity keeps the cranberry, pomegranate and cherry flavors bright on the palate, with spicy notes and taut tannins giving nuance. Black cherry, licorice and clove lead the spicy finish, which leans a bit hot.",86,@bkfiona,Sutcliffe 2014 Bodysgallen Red (Colorado),Bordeaux-style Red Blend,Sutcliffe
49248,"Fruity and fresh, it's full of grapefruit, lime and green apple flavors. It is crisp and ready to drink.",84,@vossroger,Château Lamothe de Haux 2013  Bordeaux Blanc,Bordeaux-style White Blend,Château Lamothe de Haux
67113,"Made with 60% Sangiovese and 40% Vermentino, this offers delicate aromas of red berry, white peach and a hint of Mediterranean scrub that carry on to the palate. It closes on a refreshing citrus note.",88,@kerinokeefe,Fattoria Sardi 2015 Le Cicale Rosato (Toscana),Rosato,Fattoria Sardi
47177,"Briary, herbal berry aromas are dry, earthy, foresty and show a note of olive. This Cab is full of life on the palate, with energy and good overall balance. Spicy flavors of baked plum, olive, herbs and tobacco finish long, with amplified oak. Drink now through 2018.",90,@wineschach,Caliterra 2013 Tributo Single Vineyard Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Caliterra
11621,"Smoky char takes on a grilled meatiness in this wine, a fatness of bacon and blackberry jam emphasizing the intense ripeness and grip of it all. Blackberry jam and vanilla sweetness underscore its big personality.",85,@vboone,Beaulieu Vineyard 2013 Maestro Collection Ranch 11 Zinfandel (St. Helena),Zinfandel,Beaulieu Vineyard
123823,"Stewed blackberry and black plum fruit meets with leather, black pepper and shiitake mushroom aromas on the nose of this blend of 45% Petite Sirah, 33% Syrah, 12% Mourvèdre and 10% Grenache. It's savory on the palate, with dried herb and roast beef flavors set against a backdrop of black fruit. The acidity is searing toward the finish.",91,@mattkettmann,ONX 2014 Level 22 Red (Templeton Gap District),Red Blend,ONX
37286,"From a three-acre block of the Valley View Vineyard just east of Solvang, this clonal selection shows cedar, black olive, black pepper and elderberry fruit on the tightly wound nose. Tart but ripe boysenberry fruit shows on the palate, spiced with peppercorn, more cedar and a slate-like minerality. Sticky tannins carry those flavors into the finish.",91,@mattkettmann,Lucas & Lewellen 2013 Estate Vineyards Clone 6 Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Lucas & Lewellen
76236,"There's a respectably complex nose on this pink wine, with lemonade and pressed plums blending into a wet cement minerality. The palate is very tasty, with flavors of pomegranate, dried rose petals, hibiscus, night jasmine and even a clove-laced mocha element proving quite intriguing.",88,@mattkettmann,HammerSky 2013 Rosé (Paso Robles),Rosé,HammerSky
59939,"Pomatia is an almost mythical creation—like one of those half man, half beast monsters from ancient times. The blend is not that unusual, but the results might be likened to a sculpture by Picasso—a piece of wood here, an old newspaper there, and a bicycle seat for a head. Not to disparage the wine—it's flavorful and full-bodied, but a puzzler. Funkadelic meets Clapton? Cherries and earth, tannin and tea.",88,@paulgwine ,Helix by Reininger 2006 Pomatia Red Wine Red (Columbia Valley (WA)),Red Blend,Helix by Reininger
59255,"Hot pink in color and showing some bricking, light aromas of cherry and spice are followed by broad-feeling fruit flavors that are a hair off dry. It comes off as a bit ponderous but there's enjoyment to be had.",86,@wawinereport,Wine o'Clock 2014 Rosé (Columbia Valley (WA)),Rosé,Wine o'Clock
58287,"There's some tingle and bounce to the nose, which exhibits the variety's herbal character. The palate is fresh, a touch sheering, and good overall; cherry flavors are in the lead, with vanilla playing second fiddle. Long and a bit grating on the finish. Carmenère with 15% Cabernet Sauvignon.",86,@wineschach,La Playa 2005 Block Selection Carmenère (Colchagua Valley),Carmenère,La Playa
86711,"This yellow-colored blend is weird and wooly, with aromas of blowsy apricot and herbs. A pulpy, melony palate is creamy and odd in feel, with nectarine and chunky peach flavors that turn rubbery on the finish.",80,@wineschach,Angosto 2011 Blanco White (Valencia),White Blend,Angosto
15611,"Taylor's (marketed as Wakefield internationally) seems to be on a roll. This is a complex, multidimensional Shiraz laced with nuances ranging from mulberry and plum to meat and spice and on to coffee and black olive. It's medium-bodied, with tannins that are supple enough to make it approachable right away.",91,@JoeCz,Wakefield 2005 Shiraz (Clare Valley),Shiraz,Wakefield
106612,"Condensed up front, with aromas of berry compote and molasses. So why is this so tangy and tart in the mouth? Maybe the grapes weren't as ripe as they seem from the nose, and in the end it fails the all-important balance/wholesomeness test.",83,@wineschach,Hemar 2006 Joven  (Ribera del Duero),Tempranillo,Hemar
110864,"This attractive, light-colored rosé is dry, but its richness, crushed strawberry flavor and textured acidity neatly combine to produce a crisp, yet full, wine. Ready to drink.",87,@vossroger,Montaudon NV Grand Brut Rosé  (Champagne),Champagne Blend,Montaudon
79145,"A bit too pungent for this reviewer, with layers of crushed tomato stalk and leaves holding the edge over more attractive passion-fruit notes. It's light in weight and clean on the finish, so does offer some refreshment value.",85,@JoeCz,Sileni 2015 Cellar Selection Sauvignon Blanc (Marlborough),Sauvignon Blanc,Sileni
120696,"Soft and juicy, this is a classically crafted wine, medium bodied with savory notes of cedar, dried herb and black olive. Structured and balanced, it finishes rich and refreshing, with a memory of red currant and cherry.",90,@vboone,Oakville Winery 2012 Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville Winery
27031,"Though not treating the grape with quite the same reverence as other varieties, Central Coast vintners are having fun with Merlot, making quaffable, easygoing bottlings like this one. It shows caramelized blueberry, black currant and asphalt touches on the nose. The graphite minerality also pops on the palate, giving a tension to the cassis flavors.",88,@mattkettmann,Brander 2015 Merlot,Merlot,Brander
35772,"Medium-light, with clean and fresh berry fruit flavors, sharp and tart. It starts out with some quick punch, then fades away in a fast finish.",86,@paulgwine ,Cloudlift Cellars 2009 Cloud 2 Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Cloudlift Cellars
59584,"With its slight vanilla aroma, this is a broad style, with ripe acidity, a fresh green fruit character, rounded by the toast edge. There is a good final crisp texture.",87,@vossroger,Domaine Eugène Meyer 2008 Pinot Blanc (Alsace),Pinot Blanc,Domaine Eugène Meyer
87543,"Given that 2009 was a hot vintage in Chile, it's not shocking that this old vine Cabernet is rich, ripe and syrupy. The nose is attractive and offers aromas of blackberry, tree bark, herbs and minerality. The palate deals gritty tannins and rich, raisiny flavors of cassis, blackberry, coffee and toast. This finishes a touch choppy and rough, with weight and power. Drink through 2016.",91,@wineschach,Miguel Torres 2009 Manso de Velasco Viñas Viejas Cabernet Sauvignon (Curicó Valley),Cabernet Sauvignon,Miguel Torres
16502,"This is a funky briny wine that still seems a bit closed up on first pour. The palate is silky and focused, not having fully come together as of yet but still offering generous fruit, smoked meat and other savory flavors. It's all about elegance.",93,@wawinereport,Cayuse 2013 Wallah Wallah Special #5 Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
49229,"A soft, rounded wine with hints of oak from the one-third barrel aging. Concentrated and firm, it is already well in balance, with soft, creamy flavors.",87,@vossroger,Elena Walch 2002 Kastelatz Pinot Bianco (Alto Adige),Pinot Bianco,Elena Walch
67298,"Aromas of leather, cherry and plum lead this balanced red from Boutari. Ripe cherry, cedar and cinnamon flavors carry the palate, with soft tannins giving a sultry feel.",89,@suskostrzewa,Boutari 2012 Agiorgitiko (Nemea),Agiorgitiko,Boutari
84786,"Opening aromas include forest floor, red berries, cooking spices and Mediterranean herbs. The juicy palate shows bright red berries, mint and thyme accented with notes of white pepper. It's well balanced but will benefit with a few more years in bottle to fully develop. Drink 2016–2020.",90,@kerinokeefe,Fattoria La Lecciaia 2009  Brunello di Montalcino,Sangiovese,Fattoria La Lecciaia
85063,"Bill Easton's “large” production GSM (Grenache, Syrah and Mourvèdre) blend out of the Sierra Foothills exhibits intense mushroom and licorice notes and makes for a great first entry into Easton's headier wines. An affordable Rhône-red pairing with earthy dishes.",89,@vboone,Domaine de la Terre Rouge 2008 Tête-à-Tête Red (Sierra Foothills),Rhône-style Red Blend,Domaine de la Terre Rouge
63592,Tropical fruit aromas of mango and guava prepare the palate for flavors of lemon-lime sorbet with notes of freesia. There is a nice vein of minerality that offers a faint sensation of chalkiness on the gums. Softly lingering tannins recede into a crisp finish.,86,@worldwineguys,Pelter 2013 Matar Chardonnay (Galilee),Chardonnay,Pelter
43633,"The aromatic opening suggests tea and tobacco, while the palate is packed with blackberry, black cherry and cassis fruit. This wine has density and complexity yet it's smooth, superrich, toasty and chocolaty. It manages to retain a sense of finesse along with all that power.",96,@paulgwine ,Styring 2012 Wit Reserve Estate Pinot Noir (Ribbon Ridge),Pinot Noir,Styring
62668,"The Savatiano-whisperer Papagiannakos continues his mastery here, traditionally the variety used for retsina. Here, the single variety is barrel fermented and left on the lees to offer a richer expression of the grape's lemon, spice and peach notes. This is an elegant white with aging ability. Try with grilled fish, salty cheeses.",90,@suskostrzewa,Papagiannakos 2013 Vareli Skin Contact Savatiano (Markopoulo),Savatiano,Papagiannakos
79588,"Coming from Boushey Vineyard, this is a seldom-seen variety in the state. This offering seems a bit reduced out of the gate, showing aromas of garden hose along with lemon. The medium-bodied citrus rind and lemon flavors bring plenty of appeal along with a big blast of acidity. If the reduction blows off, it moves up a notch or two as the palate flat-out impresses.",89,@wawinereport,Callan 2016 Picpoul (Yakima Valley),Picpoul,Callan
11111,"Deep straw in color, this semi-sweet wine made from an indigenous Georgian grape has an aroma characterized by soft hints of apple. It is harmonious in the mouth, with flavors of ripe apple, white peach and apricot that meld into a finish marked by persistent floral sweetness.",87,@worldwineguys,Tbilvino 2014 Georgian Valleys Alazani Valley Rkatsiteli (Kakheti),Rkatsiteli,Tbilvino
117812,"This muted, tannic Cabernet spent 20 months in new French oak. The dark black cherry and berry fruit are overwhelmed somewhat by the toast and oak.",86,@vboone,6 North 2009 Flagstone Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,6 North
40297,"This bottling slips in many corners of the flavor experience at once. On the nose, a bit of tropical fruit mixes with evenly spread buttercream, followed by precursor hints of bright acidity on the palate. That citrus-led vibrancy does come, as does a mix of creaminess and limestone-inflected tang, as if the rocks themselves delivered the acidity.",92,@mattkettmann,Riverbench 2012 Estate Chardonnay (Santa Maria Valley),Chardonnay,Riverbench
63461,"Aromas of underbrush, cut grass, Mediterranean scrub, red currant and spice take center stage along with a hint of menthol. The soft approachable palate offers blackberry, black currant, star anise, vanilla and white pepper alongside bright acidity and supple tannins.",90,@kerinokeefe,Ca' Marcanda 2014 Promis  (Bolgheri),Red Blend,Ca' Marcanda
21634,Funky flowers and dandelion fringe the citrus core of this rounded but precise Riesling. They hint at a ripe core of stone fruit that vies for attention with zesty acidity.,89,@AnneInVino,Markus Huber 2013 Engelsberg Riesling (Traisental),Riesling,Markus Huber
111684,"Quite ripe raspberry juice, cola, roses and violet candy shows on the nose of this wine from the veteran producer along Highway 101 in southern San Luis Obispo County. The palate offers root beer, cola, cream soda, chocolate-covered cherries and cappuccino elements.",91,@mattkettmann,Laetitia 2013 Estate Pinot Noir (Arroyo Grande Valley),Pinot Noir,Laetitia
74653,"This is a simply rendered, nicely light-bodied version of the variety, round and fleshy in mouthfeel with a taste of sugar-rimmed lime.",87,@vboone,William Hill Estate 2014 Chardonnay (Napa Valley),Chardonnay,William Hill Estate
122089,"Made from old vines ranging between 100 and 120-years-old, this vibrant white opens with aromas suggesting citrus, orchard fruit, linden blossom, acacia and a whiff of beeswax. On the savory, radiant palate, a mineral vein underscores green apple, grapefruit, and aromatic herb. Give this a few more years to fully develop. Drink 2018 through 2025.",92,@kerinokeefe,Pietradolce 2015 Archineri Bianco  (Etna),Carricante,Pietradolce
106609,"Roble means “oak” in Spanish, and oaky it is. The nose is creamy and candied, while the palate is soft, sticky and mixes raspberry with butter-like flavors. When people say they don't want too much oak on their basic wines, this is what they mean.",83,@wineschach,Bodegas Monte La Reina 2005 Torcanto Roble  (Toro),Tinta de Toro,Bodegas Monte La Reina
146,"There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. The palate blends a gamy beef quality with oregano, marjoram, cooked strawberry, baked blackberry and a sesame-oil character.",91,@mattkettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
78535,"Maduro cigar and cherry brandy aromas power the nose on this heavily extracted, single-vineyard Sangiovese that Dave Corey makes under his Turchi label. Nothing like Chianti, aside from the decent tannins and acidity, this is all prune and plum soda on the palate. Serve with herb-crusted steak.",89,@mattkettmann,Turchi 2010 Hallauer Vineyard Sangiovese (Santa Ynez Valley),Sangiovese,Turchi
70859,"This refreshingly balanced, light-on-its-feet wine doesn't hold back in terms of black fruit and subtle richness. The dark currant and cherry highlights are accented with dark chocolate, clove and white pepper notes, the oak quiet and supportive of the overall structure.",92,@vboone,Taplin Cellars 2013 Terra 9 Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Taplin Cellars
5693,"Solid and powerful, it has a great mix of very ripe fruit with dense tannins. Blackberry fruits, laced with licorice and dark chocolate, contrast with a juicy, lightly herbal element. This mainly Merlot wine is destined for a fine future. Drink from 2017.",91,@vossroger,Château de Roquebrune 2010 Cuvée Reine  (Lalande de Pomerol),Bordeaux-style Red Blend,Château de Roquebrune
77341,"The third vintage of this wine is 100% varietal, with the fruit coming from Stone Tree, Cold Creek and Beverly vineyards. Aromas of coffee, vanilla, clove, dark plum and spice lead to concentrated, layered but still elegant fruit flavors.",91,@wawinereport,Northstar 2011 Premier Merlot (Columbia Valley (WA)),Merlot,Northstar
61305,"Peach, melon and citrus aromas are good but standard. This is edgy and sharp due to lean pointy acidity. As a result of that acidity, this is tart and citric in flavor, with little lees or yeasty richness to soften things up. A finish with stony, dry lime flavors is scouring.",88,@wineschach,Nora 2015 Albariño (Rías Baixas),Albariño,Nora
98243,"This is not nearly as rich and plush as La Nerthe's luxury-level Cuvée des Cadettes, but remains a very good wine. Red plum and red currant fruit is medium-bodied, supported by bright acids, while some slightly ashy notes and a hint of cocoa emerge on the crisp finish.",88,@JoeCz,Château La Nerthe 2013 Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Château La Nerthe
59200,"This brut offers notes of citrus, stone fruit and Mediterranean herbs. It's fresh and linear, with an elegant perlage. The quenching finish closes on a note of bitter walnut.",88,@kerinokeefe,Fratelli Berlucchi 2009 Brut Vintage Sparkling (Franciacorta),Sparkling Blend,Fratelli Berlucchi
36731,"This gold-colored, mature wine shows deliciously rich spice as well as a dense texture. It's full bodied and definitely ready to drink.",86,@vossroger,Domaine Barmès-Buecher 2008 Herrenweg Gewurztraminer (Alsace),Gewürztraminer,Domaine Barmès-Buecher
104829,"A nice follow-up to the excellent '08 Zardoz, this is earthy and roasted smelling, full of cola and berry notes on the nose. It feels round and smooth, with a mild tannic bite and baked flavors of blackberry, cassis and chocolate. It's layered feeling on the finish, with a bit of syrupy residue.",90,@wineschach,Indomita 2009 Zardoz Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Indomita
81218,"There is some bitterness to this wine, with almond and quince flavors. Caramel and soft fruitiness lead to a more creamy character. Not for aging.",86,@vossroger,Heidsieck & Co Monopole 2005 Gold Top Brut  (Champagne),Champagne Blend,Heidsieck & Co Monopole
39160,"Dried yellow flowers, chamomile, acacia and ripe pear aromas lead the nose. The firm palate delivers yellow apple, hazelnut and a mineral note alongside bright acidity and a refined perlage.",88,@kerinokeefe,Tenuta degli Ultimi 2013 Rive di Collato  (Valdobbiadene Prosecco Superiore),Sparkling Blend,Tenuta degli Ultimi
38494,"Light, fruity and fragrant, this is an attractive, crisp wine that highlights red-berry fruits and soft acidity. It's a wine to drink now.",85,@vossroger,Château Frédignac 2011 Cuvée Prestige  (Blaye Côtes de Bordeaux),Bordeaux-style Red Blend,Château Frédignac
121380,"Lemon candy and banana-chip aromas on the nose of this bottling lean into the tropical realm, and yet an orange-juice freshness keeps it light. Flavors of marzipan, bubblegum and banana cream make for a ripe palate, enhanced by a sea-salt richness and a clean finish.",87,@mattkettmann,Maddalena 2014 Chardonnay (Monterey),Chardonnay,Maddalena
888,"A complex mix of wild berry, cherry and somewhat brambly fruits provides a substantial core to this wine. The fruit rolls on through a slightly chalky patch, then finishes with a flourish of toast and graphite.",90,@paulgwine ,Owen Roe 2009 Slide Mountain Vineyard Cabernet Franc (Yakima Valley),Cabernet Franc,Owen Roe
109470,"Aromas of underbrush, leather, flint, wild berry and a balsamic note mingle in the glass. The structured palate delivers dried cherry, crushed raspberry, grilled herb and anise alongside firm, fine-grained tannins and fresh acidity. Hold for additional complexity; drink 2018–2035.",95,@kerinokeefe,Ferrando 2010 Black Label  (Carema),Nebbiolo,Ferrando
24285,"There's a pretty touch of carnation florals to the dried black fruit and black cherry center of this wine. Spicy notes of black pepper, whole clove and black tea leaves appear in the mouth alongside juicy blackberry and fudgy brownie flavors.",88,@laurbuzz,Warwick 2009 The First Lady Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Warwick
17078,"Here's a fun and zingy white that offers aromas and flavors of white spring flower, tart green apple and a hint of mineral. It's simple but well made, with zesty acidity that gives it a refreshing finish.",85,@kerinokeefe,Mezzacorona 2014 Castel Pietra Pinot Grigio (Vigneti delle Dolomiti),Pinot Grigio,Mezzacorona
14838,"A virtual fruit salad with bubbles, this wine gushes cherry, apple and banana aromas. It has equally ripe flavors and a broad, almost soft texture punctuated by lively effervescence.",88,@gordone_cellars,Mirabelle NV Brut Sparkling (California),Sparkling Blend,Mirabelle
